(-9.913857, -0.158799)
(-9.912867, -0.158807)
(-9.911877, -0.158815)
(-9.910887, -0.158823)
(-9.909897, -0.158831)
(-9.908906, -0.158839)
(-9.907916, -0.158847)
(-9.906926, -0.158855)
(-9.905936, -0.158863)
(-9.904946, -0.158871)
(-9.903956, -0.158879)
(-9.902965, -0.158887)
(-9.901975, -0.158895)
(-9.900985, -0.158903)
(-9.899995, -0.158910)
(-9.899005, -0.158918)
(-9.898015, -0.158926)
(-9.897025, -0.158934)
(-9.896034, -0.158942)
(-9.895044, -0.158950)
(-9.894054, -0.158958)
(-9.893064, -0.158966)
(-9.892074, -0.158974)
(-9.891084, -0.158982)
(-9.890094, -0.158990)
(-9.889103, -0.158998)
(-9.888113, -0.159006)
(-9.887123, -0.159014)
(-9.886133, -0.159022)
(-9.885143, -0.159030)
(-9.884153, -0.159038)
(-9.883163, -0.159046)
(-9.882172, -0.159054)
(-9.881182, -0.159062)
(-9.880192, -0.159070)
(-9.879202, -0.159078)
(-9.878212, -0.159086)
(-9.877222, -0.159094)
(-9.876231, -0.159102)
(-9.875241, -0.159110)
(-9.874251, -0.159117)
(-9.873261, -0.159125)
(-9.872271, -0.159133)
(-9.871281, -0.159141)
(-9.870291, -0.159149)
(-9.869300, -0.159157)
(-9.868310, -0.159165)
(-9.867320, -0.159173)
(-9.866330, -0.159181)
(-9.865340, -0.159189)
(-9.864350, -0.159197)
(-9.863360, -0.159205)
(-9.862369, -0.159213)
(-9.861379, -0.159221)
(-9.860389, -0.159229)
(-9.859399, -0.159237)
(-9.858409, -0.159245)
(-9.857419, -0.159253)
(-9.856429, -0.159261)
(-9.855438, -0.159269)
(-9.854448, -0.159277)
(-9.853458, -0.159285)
(-9.852468, -0.159293)
(-9.851478, -0.159301)
(-9.850488, -0.159309)
(-9.849497, -0.159317)
(-9.848507, -0.159325)
(-9.847517, -0.159333)
(-9.846527, -0.159341)
(-9.845537, -0.159349)
(-9.844547, -0.159357)
(-9.843557, -0.159365)
(-9.842566, -0.159373)
(-9.841576, -0.159381)
(-9.840586, -0.159389)
(-9.839596, -0.159397)
(-9.838606, -0.159405)
(-9.837616, -0.159413)
(-9.836626, -0.159422)
(-9.835635, -0.159430)
(-9.834645, -0.159438)
(-9.833655, -0.159446)
(-9.832665, -0.159454)
(-9.831675, -0.159462)
(-9.830685, -0.159470)
(-9.829695, -0.159478)
(-9.828704, -0.159486)
(-9.827714, -0.159494)
(-9.826724, -0.159502)
(-9.825734, -0.159510)
(-9.824744, -0.159518)
(-9.823754, -0.159526)
(-9.822764, -0.159534)
(-9.821773, -0.159542)
(-9.820783, -0.159550)
(-9.819793, -0.159558)
(-9.818803, -0.159566)
(-9.817813, -0.159574)
(-9.816823, -0.159582)
(-9.815832, -0.159590)
(-9.814842, -0.159598)
(-9.813852, -0.159606)
(-9.812862, -0.159614)
(-9.811872, -0.159622)
(-9.810882, -0.159631)
(-9.809892, -0.159639)
(-9.808901, -0.159647)
(-9.807911, -0.159655)
(-9.806921, -0.159663)
(-9.805931, -0.159671)
(-9.804941, -0.159679)
(-9.803951, -0.159687)
(-9.802961, -0.159695)
(-9.801970, -0.159703)
(-9.800980, -0.159711)
(-9.799990, -0.159719)
(-9.799000, -0.159727)
(-9.798010, -0.159735)
(-9.797020, -0.159743)
(-9.796030, -0.159752)
(-9.795039, -0.159760)
(-9.794049, -0.159768)
(-9.793059, -0.159776)
(-9.792069, -0.159784)
(-9.791079, -0.159792)
(-9.790089, -0.159800)
(-9.789098, -0.159808)
(-9.788108, -0.159816)
(-9.787118, -0.159824)
(-9.786128, -0.159832)
(-9.785138, -0.159840)
(-9.784148, -0.159848)
(-9.783158, -0.159857)
(-9.782167, -0.159865)
(-9.781177, -0.159873)
(-9.780187, -0.159881)
(-9.779197, -0.159889)
(-9.778207, -0.159897)
(-9.777217, -0.159905)
(-9.776227, -0.159913)
(-9.775236, -0.159921)
(-9.774246, -0.159929)
(-9.773256, -0.159938)
(-9.772266, -0.159946)
(-9.771276, -0.159954)
(-9.770286, -0.159962)
(-9.769296, -0.159970)
(-9.768305, -0.159978)
(-9.767315, -0.159986)
(-9.766325, -0.159994)
(-9.765335, -0.160002)
(-9.764345, -0.160010)
(-9.763355, -0.160019)
(-9.762364, -0.160027)
(-9.761374, -0.160035)
(-9.760384, -0.160043)
(-9.759394, -0.160051)
(-9.758404, -0.160059)
(-9.757414, -0.160067)
(-9.756424, -0.160075)
